country,population
Afghanistan,38928.341
Bangladesh,164689.383
Bhutan,771.612
India,1380004.385
Iran (Islamic Republic of),83992.953
Maldives,540.542
Nepal,29136.808
Pakistan,220892.331
Sri Lanka,21413.25
